"","lead","non","year"
"852","11261-89","169641-82",2018
"853","154449-46","169641-82",2018
"854","169641-82","169641-82",2018
"855","225521-02","225521-02",2015
"856","225521-02","54886-96",2015
"857","51004-36","119406-79",2018
"858","51004-36","51004-36",2018
"859","51004-36","55710-55",2018
"860","11215-54","11215-54",2018
"861","11215-54","149806-90",2018
"862","11215-54","151153-39",2018
"863","11215-54","55778-14",2018
"864","11215-54","60593-77",2018
"865","11170-81","11115-46",2006
"866","11214-19","11115-46",2006
"867","11328-76","11115-46",2006
"868","11170-81","11170-81",2006
"869","11214-19","11170-81",2006
"870","11328-76","11170-81",2006
"871","11170-81","11214-19",2006
