"","lead","non","year"
"3374","109408-06","57103-39",2018
"3375","52646-23","102408-85",2018
"3376","52646-23","52646-23",2018
"3377","40764-07","11215-63",2018
"3378","40764-07","11296-45",2018
"3379","40764-07","40764-07",2018
"3380","55346-23","153309-25",2018
"3381","55346-23","54197-38",2018
"3382","55346-23","55346-23",2018
"3383","10123-03","10123-03",2018
"3384","10123-03","10133-20",2018
"3385","10123-03","41716-90",2018
"3386","111715-57","108358-57",2018
"3387","184644-73","108358-57",2018
"3388","111715-57","111715-57",2018
"3389","184644-73","111715-57",2018
"3390","111715-57","184644-73",2018
"3391","184644-73","184644-73",2018
"3392","10134-73","10134-73",2018
"3393","10134-73","11254-42",2018
"3394","10134-73","42715-00",2018
"3395","11237-50","11237-50",2018
"3396","11237-50","179440-93",2018
"3397","11237-50","51472-45",2018
"3398","54106-66","11251-81",2018
"3399","54106-66","149720-23",2018
"3400","54106-66","225863-83",2018
"3401","54106-66","51001-03",2018
"3402","54106-66","54106-66",2018
"3403","55984-51","51762-25",2018
"3404","55984-51","53906-41",2018
"3405","55984-51","55984-51",2018
"3406","55984-51","63686-89",2018
"3407","113110-12","113110-12",2018
"3408","113110-12","228944-89",2018
"3409","113110-12","10381-24",2018
"3410","113110-12","113110-12",2018
"3411","113110-12","228944-89",2018
"3412","113110-12","25332-67",2018
"3413","113110-12","60293-62",2018
"3414","11274-22","10123-03",2018
"3415","11274-22","11274-22",2018
"3416","11274-22","53941-06",2018
"3417","11266-84","11266-84",2018
"3418","42365-62","11266-84",2018
"3419","11266-84","42365-62",2018
"3420","42365-62","42365-62",2018
"3421","111325-87","111325-87",2018
"3422","111325-87","178859-08",2018
"3423","111325-87","181403-83",2018
"3424","111325-87","54068-23",2018
"3425","111325-87","99756-10",2018
"3426","59280-04","157663-45",2018
"3427","59280-04","158760-82",2018
"3428","59280-04","225735-76",2018
"3429","59280-04","59280-04",2018
"3430","11268-55","11268-55",2018
"3431","11268-55","51586-39",2018
"3432","10563-22","10563-22",2018
"3433","10563-22","151381-45",2018
"3434","10364-77","10364-77",2018
"3435","10364-77","126391-60",2018
"3436","184014-10","184014-10",2018
"3437","184014-10","42957-28",2018
"3438","89936-74","11141-56",2018
"3439","89936-74","89936-74",2018
"3440","228967-66","227489-50",2018
"3441","228967-66","228967-66",2018
"3442","58322-98","10123-03",2018
"3443","58322-98","157710-16",2018
"3444","58322-98","58322-98",2018
"3445","163026-82","163026-82",2018
"3446","163026-82","228986-92",2018
"3447","51488-74","51488-74",2018
"3448","54197-38","51488-74",2018
"3449","51488-74","54197-38",2018
"3450","54197-38","54197-38",2018
"3451","11251-81","11251-81",2018
"3452","11251-81","11261-89",2018
"3453","11251-81","11293-66",2018
"3454","11251-81","42183-19",2018
"3455","160650-28","160650-28",2018
"3456","222564-43","160650-28",2018
"3457","160650-28","222564-43",2018
"3458","222564-43","222564-43",2018
"3459","11321-29","102376-00",2018
"3460","11321-29","107572-60",2018
"3461","11321-29","11321-29",2018
"3462","11321-29","179440-93",2018
"3463","11321-29","223507-63",2018
"3464","11321-29","225905-68",2018
"3465","11321-29","51097-60",2018
"3466","11321-29","56078-47",2018
"3467","11321-29","60945-31",2018
"3468","11321-29","11275-75",2018
"3469","11321-29","11321-29",2018
"3470","11321-29","229010-41",2018
"3471","11321-29","51135-58",2018
"3472","11321-29","54079-75",2018
"3473","11321-29","56010-97",2018
"3474","11321-29","59264-65",2018
"3475","10521-46","10521-46",2018
"3476","10521-46","54892-09",2018
"3477","10521-46","55612-00",2018
"3478","11111-68","11111-68",2018
"3479","11295-73","11111-68",2018
"3480","181279-45","11111-68",2018
"3481","11111-68","11295-73",2018
"3482","11295-73","11295-73",2018
"3483","181279-45","11295-73",2018
"3484","11111-68","181279-45",2018
"3485","11295-73","181279-45",2018
"3486","181279-45","181279-45",2018
"3487","93224-08","228972-79",2018
"3488","93224-08","93224-08",2018
"3489","11149-30","11149-30",2018
"3490","11149-30","54880-12",2018
"3491","11261-89","11261-89",2018
"3492","11261-89","42788-17",2018
"3493","158931-19","157663-45",2018
"3494","158931-19","158931-19",2018
"3495","158931-19","42389-47",2018
"3496","158931-19","56460-43",2018
"3497","158931-19","62543-62",2018
"3498","10458-73","10458-73",2018
"3499","10458-73","54886-96",2018
"3500","158137-48","11327-41",2018
"3501","158137-48","12478-60",2018
"3502","158137-48","158137-48",2018
"3503","60194-98","42944-05",2018
"3504","60194-98","60194-98",2018
"3505","167629-96","167629-96",2018
"3506","167629-96","51048-28",2018
"3507","45704-44","45704-44",2018
"3508","56307-97","45704-44",2018
"3509","45704-44","56307-97",2018
"3510","56307-97","56307-97",2018
"3511","118853-56","11143-54",2018
"3512","118853-56","118853-56",2018
"3513","118853-56","65595-70",2018
"3514","107847-10","107847-10",2017
"3515","58046-50","107847-10",2017
"3516","107847-10","58046-50",2017
"3517","58046-50","58046-50",2017
"3518","42173-20","111146-41",2018
"3519","42173-20","226984-24",2018
"3520","42173-20","42173-20",2018
"3521","226479-97","226479-97",2018
"3522","60560-65","226479-97",2018
"3523","226479-97","60560-65",2018
"3524","60560-65","60560-65",2018
"3525","162587-08","162587-08",2018
"3526","162587-08","51022-00",2018
"3527","162587-08","56141-11",2018
"3528","12062-44","12062-44",2018
"3529","12062-44","53324-20",2018
"3530","55346-23","53961-94",2018
"3531","55346-23","55346-23",2018
"3532","11295-73","11295-73",2018
"3533","11295-73","125851-06",2018
"3534","168558-13","168558-13",2018
"3535","221815-00","168558-13",2018
"3536","168558-13","221815-00",2018
"3537","221815-00","221815-00",2018
"3538","41762-98","11157-76",2018
"3539","41762-98","11324-08",2018
"3540","41762-98","41762-98",2018
"3541","187980-13","123358-69",2018
"3542","187980-13","187980-13",2018
"3543","187980-13","229143-70",2018
"3544","187980-13","40732-48",2018
"3545","187980-13","52874-92",2018
"3546","14188-06","14188-06",2018
"3547","14188-06","54770-68",2018
"3548","55968-04","53967-52",2018
"3549","56181-16","53967-52",2018
"3550","55968-04","54862-57",2018
"3551","56181-16","54862-57",2018
"3552","55968-04","55968-04",2018
"3553","56181-16","55968-04",2018
"3554","55968-04","56181-16",2018
"3555","56181-16","56181-16",2018
"3556","10123-03","10123-03",2018
"3557","10123-03","11227-60",2018
"3558","10123-03","182193-58",2018
"3559","100778-23","100778-23",2018
"3560","100778-23","182096-83",2018
"3561","110331-10","110331-10",2018
"3562","110331-10","125084-71",2018
"3563","110331-10","52773-04",2018
"3564","110331-10","93224-08",2018
"3565","221607-28","221607-28",2018
"3566","229185-28","221607-28",2018
"3567","221607-28","229185-28",2018
"3568","229185-28","229185-28",2018
"3569","89936-74","11215-54",2018
"3570","89936-74","149806-90",2018
"3571","89936-74","89936-74",2018
"3572","41716-90","11296-45",2018
"3573","41716-90","41716-90",2018
"3574","41716-90","11274-22",2018
"3575","41716-90","41716-90",2018
"3576","11867-23","11867-23",2018
"3577","226663-57","11867-23",2018
"3578","11867-23","226663-57",2018
"3579","226663-57","226663-57",2018
"3580","11867-23","41706-10",2018
"3581","226663-57","41706-10",2018
"3582","11867-23","53997-76",2018
"3583","226663-57","53997-76",2018
"3584","11237-68","110390-41",2018
"3585","11323-45","110390-41",2018
"3586","11237-68","11237-68",2018
"3587","11323-45","11237-68",2018
"3588","11237-68","11323-45",2018
"3589","11323-45","11323-45",2018
"3590","11237-68","50980-60",2018
"3591","11323-45","50980-60",2018
"3592","97655-68","157481-47",2018
"3593","97655-68","168382-99",2018
"3594","97655-68","97655-68",2018
"3595","11215-54","11215-54",2017
"3596","11215-54","229204-00",2017
"3597","11215-54","229204-09",2017
"3598","11295-73","11295-73",2018
"3599","11295-73","229204-36",2018
"3600","11295-73","53228-80",2018
"3601","11242-54","11242-54",2018
"3602","11242-54","11261-89",2018
"3603","11242-54","187980-13",2018
"3604","11242-54","52507-90",2018
"3605","11242-54","56351-53",2018
"3606","179085-25","179085-25",2018
"3607","179085-25","85134-61",2018
"3608","55161-46","11109-61",2018
"3609","55161-46","111146-41",2018
"3610","55161-46","55161-46",2018
"3611","55161-46","60152-86",2018
"3612","55161-46","61842-79",2018
"3613","11318-77","11284-48",2018
"3614","11318-77","11318-77",2018
"3615","11318-77","154449-46",2018
"3616","11318-77","51472-63",2018
"3617","11318-77","95533-93",2018
"3618","11171-44","11171-44",2018
"3619","11171-44","169984-54",2018
"3620","51061-60","227178-82",2018
"3621","51061-60","51061-60",2018
"3622","52646-23","11202-04",2018
"3623","52646-23","229249-00",2018
"3624","52646-23","52646-23",2018
"3625","52646-23","99795-70",2018
"3626","53452-81","122136-40",2018
"3627","53452-81","53452-81",2018
"3628","53452-81","93383-56",2018
"3629","40829-14","11263-87",2018
"3630","40829-14","40829-14",2018
"3631","40829-14","53539-93",2018
"3632","40829-14","61514-20",2018
"3633","11251-81","11251-81",2018
"3634","11251-81","112889-26",2018
"3635","11251-81","51566-05",2018
"3636","11251-81","53920-36",2018
"3637","11333-44","11136-34",2018
"3638","39717-73","11136-34",2018
"3639","11333-44","11264-68",2018
"3640","39717-73","11264-68",2018
"3641","11333-44","11333-44",2018
"3642","39717-73","11333-44",2018
"3643","11333-44","39717-73",2018
"3644","39717-73","39717-73",2018
"3645","11333-44","56638-81",2018
"3646","39717-73","56638-81",2018
"3647","58816-54","226347-85",2018
"3648","58816-54","58816-54",2018
"3649","58816-54","62389-27",2018
"3650","54440-65","54440-65",2018
"3651","54440-65","56336-59",2018
"3652","11263-51","11263-51",2018
"3653","11263-51","11300-05",2018
"3654","11263-51","55214-02",2018
"3655","170619-22","120200-86",2018
"3656","99795-70","120200-86",2018
"3657","170619-22","170619-22",2018
"3658","99795-70","170619-22",2018
"3659","170619-22","99795-70",2018
"3660","99795-70","99795-70",2018
"3661","182433-16","10052-20",2018
"3662","182433-16","11295-73",2018
"3663","182433-16","11320-66",2018
"3664","182433-16","182433-16",2018
"3665","11211-76","11211-76",2018
"3666","11211-76","56179-18",2018
"3667","11114-38","11114-38",2018
"3668","11114-38","157412-62",2018
"3669","11114-38","164406-34",2018
"3670","11114-38","56946-25",2018
"3671","11114-38","58373-20",2018
"3672","105592-96","105592-96",2017
"3673","61255-72","105592-96",2017
"3674","105592-96","149806-90",2017
"3675","61255-72","149806-90",2017
"3676","105592-96","61255-72",2017
"3677","61255-72","61255-72",2017
"3678","11215-54","11215-54",2018
"3679","229318-21","11215-54",2018
"3680","11215-54","229318-03",2018
"3681","229318-21","229318-03",2018
"3682","11215-54","229318-21",2018
"3683","229318-21","229318-21",2018
"3684","11215-54","55778-14",2018
"3685","229318-21","55778-14",2018
"3686","227075-41","182137-42",2018
"3687","229328-74","182137-42",2018
"3688","51734-08","182137-42",2018
"3689","227075-41","184302-10",2018
"3690","229328-74","184302-10",2018
"3691","51734-08","184302-10",2018
"3692","227075-41","227075-41",2018
"3693","229328-74","227075-41",2018
"3694","51734-08","227075-41",2018
"3695","227075-41","229328-74",2018
"3696","229328-74","229328-74",2018
"3697","51734-08","229328-74",2018
"3698","227075-41","51734-08",2018
"3699","229328-74","51734-08",2018
"3700","51734-08","51734-08",2018
"3701","227075-41","52646-23",2018
"3702","229328-74","52646-23",2018
"3703","51734-08","52646-23",2018
"3704","180815-05","180815-05",2018
"3705","180815-05","56010-97",2018
"3706","51311-35","51311-35",2018
"3707","51311-35","53315-65",2018
"3708","51311-35","54582-49",2018
"3709","166765-24","106917-85",2018
"3710","166765-24","166765-24",2018
"3711","166765-24","183027-16",2018
"3712","166765-24","229332-52",2018
"3713","148770-82","148770-82",2018
"3714","229333-69","148770-82",2018
"3715","148770-82","229333-69",2018
"3716","229333-69","229333-69",2018
"3717","11242-54","10230-94",2018
"3718","11242-54","11242-54",2018
"3719","11242-54","11333-26",2018
"3720","11242-54","91434-07",2018
"3721","51263-47","41009-86",2018
"3722","51263-47","51263-47",2018
"3723","51263-47","52916-50",2018
"3724","51263-47","53403-58",2018
"3725","91434-07","53443-09",2018
"3726","91434-07","91434-07",2018
"3727","54106-66","11124-64",2018
"3728","54106-66","166617-73",2018
"3729","54106-66","54106-66",2018
"3730","11255-50","100624-51",2018
"3731","11255-50","11165-23",2018
"3732","11255-50","11255-50",2018
"3733","11255-50","58740-40",2018
"3734","40431-25","11191-96",2018
"3735","40431-25","40431-25",2018
"3736","40431-25","55984-51",2018
"3737","11228-50","11228-50",2018
"3738","11228-50","182897-38",2018
"3739","11228-50","53804-17",2018
"3740","11228-50","59079-61",2018
"3741","229474-63","158844-61",2018
"3742","229474-63","227786-41",2018
"3743","229474-63","229474-63",2018
"3744","11326-33","11111-68",2018
"3745","11326-33","11125-00",2018
"3746","11326-33","11251-81",2018
"3747","11326-33","11274-22",2018
"3748","11326-33","11326-33",2018
"3749","11326-33","51094-99",2018
"3750","11326-33","53329-24",2018
"3751","11326-33","58663-63",2018
"3752","52363-99","11111-68",2018
"3753","52363-99","52363-99",2018
"3754","52363-99","58663-63",2018
"3755","40732-48","40732-48",2018
"3756","40732-48","59900-77",2018
"3757","56847-16","179710-12",2018
"3758","56847-16","56847-16",2018
"3759","167489-20","11300-32",2018
"3760","167489-20","167489-20",2018
"3761","167489-20","223537-87",2018
"3762","11155-87","11155-87",2018
"3763","11324-08","11155-87",2018
"3764","228319-66","11155-87",2018
"3765","11155-87","11324-08",2018
"3766","11324-08","11324-08",2018
"3767","228319-66","11324-08",2018
"3768","11155-87","228319-66",2018
"3769","11324-08","228319-66",2018
"3770","228319-66","228319-66",2018
"3771","223898-95","104637-97",2018
"3772","223898-95","223898-95",2018
"3773","226489-87","11227-60",2018
"3774","52563-61","11227-60",2018
"3775","226489-87","226489-87",2018
"3776","52563-61","226489-87",2018
"3777","226489-87","52563-61",2018
"3778","52563-61","52563-61",2018
"3779","226489-87","53228-80",2018
"3780","52563-61","53228-80",2018
"3781","226489-87","55879-21",2018
"3782","52563-61","55879-21",2018
"3783","11211-40","10139-41",2018
"3784","11211-40","11211-40",2018
"3785","184803-49","184803-49",2018
"3786","184803-49","52370-29",2018
"3787","58281-49","58281-49",2018
"3788","58281-49","58855-33",2018
"3789","178389-28","178389-28",2018
"3790","178389-28","221815-00",2018
"3791","42202-18","11227-60",2018
"3792","42202-18","42202-18",2018
"3793","42202-18","42715-09",2018
"3794","42202-18","54892-09",2018
"3795","11215-54","11215-54",2018
"3796","11215-54","11295-73",2018
"3797","96060-25","229555-81",2017
"3798","96060-25","96060-25",2017
"3799","11118-25","11118-25",2018
"3800","11118-25","52697-53",2018
"3801","55778-14","11203-21",2018
"3802","55778-14","11215-54",2018
"3803","55778-14","229563-28",2018
"3804","55778-14","55778-14",2018
"3805","42728-77","153826-03",2018
"3806","42728-77","42728-77",2018
"3807","42728-77","51048-55",2018
"3808","168997-69","168997-69",2018
"3809","229593-70","168997-69",2018
"3810","168997-69","229593-70",2018
"3811","229593-70","229593-70",2018
"3812","60062-32","226395-19",2018
"3813","60062-32","52748-83",2018
"3814","60062-32","60062-32",2018
