"","x"
"1772",91699705
"1773",91709902
"1774",91729991
"1775",91749949
"1776",91759561
"1777",91899794
"1778",91939823
"1779",91969693
"1780",91989926
"1781",92039648
"1782",92069832
"1783",92149553
"1784",92159812
"1785",92359694
"1786",92439993
"1787",92509947
"1788",92529922
"1789",92719644
"1790",92719940
"1791",92869957
"1792",93059807
"1793",93119860
"1794",93159826
"1795",93289902
"1796",93349625
"1797",93539545
"1798",93589838
"1799",93609925
"1800",93789936
"1801",93809895
"1802",93899938
"1803",93929673
"1804",93929893
"1805",93959933
"1806",93999840
"1807",94009855
"1808",94009873
"1809",94079593
"1810",94089876
"1811",94089962
"1812",94149747
"1813",94179799
"1814",94209810
"1815",94229986
"1816",94289964
"1817",94309610
"1818",94379976
"1819",94419892
"1820",94429986
"1821",94519586
"1822",94629802
"1823",94639778
"1824",94919554
"1825",94929799
"1826",94969870
"1827",95029657
"1828",95059779
"1829",95149655
"1830",95239946
"1831",95249810
"1832",95269762
"1833",95339895
"1834",95499970
"1835",95529877
"1836",95609664
"1837",96229536
"1838",96269684
"1839",96289756
"1840",96339836
"1841",96349924
"1842",96429602
"1843",96449957
"1844",96459814
"1845",96529653
"1846",96529749
"1847",96559580
"1848",96609903
"1849",96679586
"1850",96749681
"1851",96779944
"1852",96829565
"1853",96829926
"1854",96879682
"1855",96909964
"1856",96919885
"1857",96929865
"1858",96949785
"1859",97169600
"1860",97219777
"1861",97309726
"1862",97399960
"1863",97409976
"1864",97439798
"1865",97469953
"1866",97629798
"1867",97639569
"1868",97699707
"1869",97729819
"1870",97759939
"1871",97779992
"1872",97829996
"1873",97999798
