"week","prod_id","seasonality","holiday","big_holiday","weekly_price","weekly_discount","sales_amount","Email","Flyer","Paid_Search","Store_Display","Web_Display","TV","Radio","base_price","base","due_to_Price","due_to_Promo","due_to_Flyer","due_to_Email","due_to_Web_Display","due_to_Store_Display","due_to_Paid_Search","due_to_TV","due_to_Radio"
2017-05-28,138936952,9105.581633,"0",0,4.59,0,78,0,0,24956,0,0,0.38959129734176,0.275440493351475,3.99,95.7698707028299,-28.9062699021735,0,0,0,0,0,2.2908574906532,6.91670219990984,1.29713812593024
2017-06-04,138936952,9522.030612,"1",0,4.59,1,173,0,0,32108,0,0,0.52990225065372,0.601235126214849,3.99,150.359908360313,-29.937390935983,39.5807337370059,0,0,0,0,3.62294373121297,11.9536789914693,3.47064217213417
2017-06-11,138936952,9967.591837,"1",0,4.59,0.5,141,0,1,2581,0,0,0.500466665429168,0.543937442895761,3.99,142.114964346242,-31.0658490193438,18.683857174307,0,0,0,0,0.287659970423945,11.0819604582948,3.11648620078144
2017-06-18,138936952,10402.4898,"0",0,4.59,0,72,0,0,6873,0,0,0.471664724924471,0.487332850614363,3.99,85.8575490169517,-23.3461758765596,0,0,0,0,0,0.529875610508456,7.04207142098016,1.91917990785901
2017-06-25,138936952,10771.52041,"0",0,4.59,0,100,0,0,43939,0,0,0.443634074030806,0.432825476381065,3.99,115.14871823022,-30.1680223225219,0,0,0,0,0,4.44585052669528,8.7577924595468,2.24432420270584
2017-07-02,138936952,11120.06122,"0",0,4.59,0,131,0,0,48573,0,0,0.416488387460003,0.38145551164183,3.99,150.696032163842,-38.2415399941661,0,0,0,0,0,6.28280571529796,10.5278095692027,2.52783653899877
2017-07-09,138936952,11497.30612,"0",0,4.59,0.5,130,0,1,26341,1,0,0.390318462128947,0.333911401462797,3.99,120.370602530828,-25.7405517284655,15.9482267047067,0,0,0,12.6214449182685,2.49264695822197,7.31194109071216,1.61360687518644
2017-07-16,138936952,11776.19388,"0",0,4.59,0,104,0,0,20404,0,0,0.365193743975664,0.290573684152814,3.99,123.627110658387,-29.8445516093143,0,0,0,0,0,2.07026107126027,7.24322095720135,1.50901564783215
2017-07-23,138936952,11892.13265,"0",0,4.59,0,126,0,0,34590,0,0,0.341164145327327,0.251573387917305,3.99,148.430771040952,-35.369380601008,0,0,0,0,0,4.18096096129732,8.0690723737363,1.55626176480456
2017-07-30,138936952,11859.92857,"0",0,4.59,0,120,0,1,28960,0,0,0.318262030681259,0.216852841971546,3.99,143.068253667042,-34.3145847817714,0,0,0,0,0,3.38092716017258,7.26763873692577,1.2959426576979
2017-08-06,138936952,11748.41837,"1",0,4.59,0,94,0,0,18607,0,0,0.296504270983895,0.186221505869305,3.99,110.332664155722,-22.2904551973775,0,0,0,0,0,1.47065108568297,4.60841837067354,0.752418852047679
2017-08-13,138936952,11537.63265,"1",0,4.59,0,158,0,0,38326,0,0,0.275894287725024,0.15940315672934,3.99,183.859493225375,-37.6662989209449,0,0,0,0,0,5.12474315786366,7.23423238772176,1.08699464454254
2017-08-20,138936952,11259.60204,"0",0,4.59,0,148,0,0,47023,0,0,0.256424027470145,0.136073334099126,3.99,177.849966345917,-45.0116324838906,0,0,0,0,0,7.08199564327177,7.55897557748579,1.0514953524306
2017-08-27,138936952,10835.37755,"0",0,4.59,0,95,0,0,15746,0,0,0.238075824323266,0.115887481144697,3.99,119.457238496439,-31.4703401290666,0,0,0,0,0,1.62581353488923,4.79284375751789,0.613127016023349
2017-09-03,138936952,10356.82653,"0",0,4.59,0,94,0,1,12535,0,0,0.220824122054562,0.0985010014244399,3.99,120.298021206449,-32.8917762734979,0,0,0,0,0,1.33381229726686,4.57541746884116,0.537088661720706
2017-09-10,138936952,9897.285714,"0",0,4.59,0,81,0,0,8252,0,0,0.204637039273403,0.0835827298840412,3.99,105.614378951596,-29.8434255656203,0,0,0,0,0,0.786181776171915,3.7905900365753,0.407883645499906
2017-09-17,138936952,9453.704082,"0",0,4.59,0,95,0,0,25429,0,0,0.189477770253203,0.0708233003088024,3.99,122.952698558787,-35.9157825462572,0,0,0,0,0,2.88303563741417,4.19380689772953,0.413059191931445
2017-09-24,138936952,9003.265306,"0",0,4.59,0,107,0,0,41691,0,0,0.175305821079825,0.0599397242044039,3.99,137.465754165542,-41.5361021370732,0,0,0,0,0,5.39980652991155,4.45411451090698,0.401361451052075
2017-10-01,138936952,8594.27551,"1",0,4.59,1,152,0,1,36799,1,0,0.471132830859387,0.726980657344544,3.99,120.444503021403,-24.7928434865846,33.4368167844949,0,0,0,11.823886244329,3.47728803693673,8.87556081230542,3.5163062725738
2017-10-08,138936952,8154.459184,"0",0,4.49,0,77,0,0,45449,0,0,0.443117766539177,0.675075715251957,3.99,84.7632184579872,-23.2656512774119,0,0,0,0,0,4.04002653349258,7.63899179450088,3.07838968969941
2017-10-15,138936952,7766.846939,"0",0,4.49,0,94,0,0,36119,0,0,0.415989571075138,0.619553833987037,3.99,105.955493777883,-29.881584708266,0,0,0,0,0,4.07585516440009,9.07871457566283,3.58220553999448
