node,companyid,l4c,l4c_scaled,gender,ethnicity,age_diff,geo_dist,ivyplus,prior_investments_success,complementarity,exec_age,male_exec,nonwhite_exec,ivyplus_exec,year,comp_lon,comp_lat,neighborhood_edges,no_deals_nh,no_deals_5year_nh,company_state
46573-84F,98315-47,448,1.1172069,1,1,21,29541.064,0,0,1,0,1,0,0,2017,-122.25855,37.868576,401,6,69,Startup
46573-84F,172235-17,448,1.1172069,1,0,20,535827.5,.5,0,1,1,1,0,0,2017,-118.408,33.942501,401,12,138,Generating revenue
46573-84F,54083-44,203,.5272727,1,1,6,2828304,0,0,1,2,1,0,0,2013,-87.635384,41.888626,385,62,270,Generating revenue
46573-84F,54895-69,203,.5272727,1,1,8,4168397,0,0,1,0,1,0,0,2013,-73.545059,41.081394,385,93,405,Generating revenue
46573-84F,98502-49,436,.96674055,1,1,9,577763.81,0,0,0,0,1,0,0,2014,-122.7278,37.784828,451,27,157,Generating revenue
46573-84F,160613-83,482,1.0663717,1,0,6,539926.5,0,0,0,0,1,0,0,2016,-86.800568,36.133251,452,1,16,Profitable
46574-56F,64179-10,0,0,1,0,3,3190660.3,0,0,0,0,1,0,1,2014,-112.07057,33.451092,9,4,12,Generating revenue
46590-85F,55170-55,3,.015151516,.5,1,7,2303.0408,0,0,1,0,1,0,0,2012,-122.3957,37.789227,198,72,210,Out of business
46590-85F,55306-72,3,.015151516,1,0,7,3280.2791,0,0,1,0,1,0,0,2012,-122.41018,37.80188,198,36,105,Exit
46590-85F,54083-44,18,.064748198,1,1,6,2828304,0,0,1,2,1,0,0,2013,-87.635384,41.888626,278,62,270,Generating revenue
46590-85F,54895-69,18,.064748198,1,1,8,4168397,0,0,1,0,1,0,0,2013,-73.545059,41.081394,278,93,405,Generating revenue
46590-85F,98502-49,31,.10064935,1,1,9,577763.81,0,0,0,0,1,0,0,2014,-122.7278,37.784828,308,27,157,Generating revenue
46590-85F,56544-31,31,.10064935,.75,.75,8,4142380.8,0,0,1,0,1,0,0,2014,-73.989349,40.73251,308,12,40,Generating revenue
46590-85F,119685-79,30,.099337749,1,.33333334,5,10141.806,0,0,0,0,1,0,0,2016,-122.2144,37.483505,302,9,54,Generating revenue
