q326,q327,q328,q329,q330,q331,q332,q333,q334,q335,q336,q395,q396,q397,q398,q399,q400,q401,q402,q403,q404,q405,q406,q407,q408,F_GT_UGA,F_GT,F_UGA,F_ONLY
0,,,1,0,0,0,0,0,0,0,Male,45-54,Some college,White,,,,,,,No,No,"$100k-$149,999",30144,0,0,1,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Female,35-44,Advanced or professional degree,White,,,,,,,Yes,No,Prefer not to answer,30318,0,0,0,1
0,,Sports,5,1,0,0,0,0,0,0,Male,35-44,Bachelors degree,White,,,,,,,Yes,No,$250k or more,30307,0,0,0,1
0,,,1,0,0,0,0,0,0,0,Female,25-34,Bachelors degree,,Hispanic,,,,,,No,No,"$25k-$49,999",30044,0,0,1,0
5,1,Multiplayer online battle arena (MOBA),3,3,1,1,0,0,0,0,Male,25-34,Some college,White,,,,,,,No,No,"$50k-$74,999",30096,0,0,1,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
1,1,Sports,1,0,0,0,0,0,0,0,Female,25-34,Bachelors degree,,Hispanic,,,,,,No,No,Prefer not to answer,30350,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Male,55-64,Technical degree,White,,,,,,,Yes,No,$250k or more,30004,1,0,0,0
0,,,,0,0,0,0,0,0,0,Male,55-64,Some college,White,,,,,,,Yes,No,"$75k-$99,999",30028,0,0,0,1
2,0,Sports,1,0,0,0,0,0,0,0,Male,45-54,Some college,White,,,,,,,Yes,No,"$100k-$149,999",30132,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
0,,Sports,1,0,0,0,0,0,0,0,Male,55-64,Bachelors degree,White,,,,,,,No,No,"$25k-$49,999",30339,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Male,45-54,Advanced or professional degree,White,,,,,,,Yes,No,$250k or more,30306,0,0,0,1
4,2,Sports,1,0,0,0,0,0,0,0,Male,25-34,Bachelors degree,White,,,,,,,Yes,No,"$75k-$99,999",30008,0,1,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,Other,1,0,0,0,0,0,0,0,Female,25-34,Technical degree,White,,,,,,,No,No,"$25k-$49,999",30546,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Male,45-54,Advanced or professional degree,White,,,,,,,Yes,Yes,Prefer not to answer,30327,0,0,0,1
1,1,Racing,1,0,0,0,0,0,0,0,Female,35-44,Bachelors degree,White,,,,,,,No,No,"$75k-$99,999",30339,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Female,45-54,Bachelors degree,White,,,,,,,Yes,No,"$150k-$249,999",30205,1,0,0,0
5,1,Sports,1,0,0,0,0,0,0,0,Male,25-34,Bachelors degree,White,,,,,,,No,No,"$25k-$49,999",30080,0,0,1,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
0,,,1,0,0,0,0,0,0,0,Female,25-34,Bachelors degree,White,,,,,,,Yes,No,Prefer not to answer,30082,0,0,1,0
0,,,5,4,1,0,0,0,1,0,Male,55-64,High school diploma,White,,,,,,,Yes,No,"$100k-$149,999",30180,0,0,1,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Male,35-44,Bachelors degree,White,,,,,,,Yes,Yes,"$150k-$249,999",30082,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Female,55-64,Bachelors degree,White,,,,,,,Yes,No,"$100k-$149,999",30043,1,0,0,0
1,1,Sports,1,0,0,0,0,0,0,0,Male,45-54,Advanced or professional degree,White,,,,,,,Yes,Yes,Prefer not to answer,30141,0,0,0,1
3,1,Sports,1,0,0,0,0,0,0,0,Male,25-34,Some college,White,,,,,,,Yes,No,"$50k-$74,999",30075,1,0,0,0
0,,Other,1,0,0,0,0,0,0,0,Male,25-34,Advanced or professional degree,White,,,,,,,No,No,"$50k-$74,999",30004,0,0,1,0
3,1,Sports,3,0,0,0,0,0,0,0,Male,35-44,Advanced or professional degree,White,,,,,,,Yes,Yes,"$150k-$249,999",30518,0,0,1,0
4,0,Sports,2,1,0,0,0,0,0,0,Male,Under 25,High school diploma,,,,Asian,,,,No,No,"$100k-$149,999",30047,0,1,0,0
0,,,1,0,0,0,0,0,0,0,Male,65+,Bachelors degree,White,,,,,,,Yes,No,$250k or more,30339,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Female,55-64,Some college,White,,,,,,,Yes,No,"$50k-$74,999",30189,1,0,0,0
0,,Other,2,1,0,0,0,0,1,0,Female,55-64,Technical degree,White,,,,,,,No,No,"$75k-$99,999",30066,1,0,0,0
0,,Other,3,4,0,0,0,0,1,0,Female,45-54,Bachelors degree,White,,,,,,,Yes,Yes,"$100k-$149,999",30062,1,0,0,0
0,,,5,6,0,0,0,0,1,0,Male,65+,Advanced or professional degree,White,,,,,,,Yes,No,"$150k-$249,999",30342,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
4,1,Sports,1,0,0,0,0,0,0,0,Male,Under 25,High school diploma,,Hispanic,,,,,,No,No,Prefer not to answer,30115,0,0,0,0
4,1,Other,1,0,0,0,0,0,0,0,Prefer not to answer,Prefer not to answer,Prefer not to answer,,,,,,,Exclusive / Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,,0,1,0,0
2,1,First-person shooters,4,2,1,0,0,1,1,0,Male,35-44,Some college,White,,,,,,,No,No,"$100k-$149,999",30189,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Male,65+,Advanced or professional degree,,,,,,,Exclusive / Prefer not to answer,Yes,No,Prefer not to answer,30338,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
0,,,1,0,0,0,0,0,0,0,Male,45-54,Some college,White,,,,,,,Yes,No,$250k or more,30707,0,0,0,0
0,,Other,1,0,0,0,0,0,0,0,Male,45-54,Advanced or professional degree,White,,,,,,,Yes,Yes,"$150k-$249,999",30188,0,0,0,0
0,,,1,0,0,0,0,0,0,0,Male,35-44,Bachelors degree,White,,,,,,,Yes,No,"$150k-$249,999",30316,0,0,0,0
0,,Other,1,0,0,0,0,0,0,0,Female,25-34,Advanced or professional degree,White,,,,,,,Yes,No,"$100k-$149,999",30004,0,0,0,1
0,,,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
3,1,Other,2,0,0,0,0,0,0,0,Male,25-34,Bachelors degree,White,,,,,,,No,No,"$75k-$99,999",30312,0,0,0,1
0,,,1,0,0,0,0,0,0,0,Male,45-54,Advanced or professional degree,White,,,,,,,No,Yes,$250k or more,30305,0,1,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,1,0,0
1,0,Racing,1,1,1,0,0,0,0,0,Male,55-64,Some college,White,,,,,,,Yes,No,$250k or more,30017,1,0,0,0
3,1,Role playing game,4,3,0,0,0,1,1,0,Female,25-34,Bachelors degree,White,,,,,,,No,No,"$25k-$49,999",30350,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Male,Under 25,Some college,White,,,,,,,No,No,Prefer not to answer,30019,0,0,1,0
0,,Sports,2,0,0,0,0,0,0,0,Male,45-54,Bachelors degree,White,,,,,,,Yes,Yes,Prefer not to answer,30076,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,,5,4,0,0,0,0,1,0,Male,35-44,Bachelors degree,White,,,,,,,Yes,Yes,"$150k-$249,999",37421,0,0,0,1
0,,,1,0,0,0,0,0,0,0,Male,25-34,Advanced or professional degree,White,,,,,,,Yes,No,"$150k-$249,999",30062,0,0,0,0
6,1,Real-time strategy,1,0,0,0,0,0,0,0,Female,55-64,Bachelors degree,White,,,,,,,Yes,No,"$150k-$249,999",30253,0,0,0,0
0,,,1,0,0,0,0,0,0,0,Male,25-34,Advanced or professional degree,White,,,,,,,No,No,"$50k-$74,999",30067,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
0,,Sports,1,0,0,0,0,0,0,0,Male,45-54,Some college,White,,,,,,,No,No,"$25k-$49,999",30534,0,0,0,0
0,,Other,1,0,0,0,0,0,0,0,Male,45-54,Advanced or professional degree,White,,,,,,,Yes,No,"$50k-$74,999",30189,0,0,0,0
0,,,1,0,0,0,0,0,0,0,Male,55-64,Bachelors degree,White,,,,,,,Yes,No,"$150k-$249,999",30064,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
0,,Racing,1,0,0,0,0,0,0,0,Female,25-34,Some college,White,,,,,,,Yes,No,"$75k-$99,999",30157,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
0,,Racing,1,0,0,0,0,0,0,0,Male,35-44,Advanced or professional degree,White,,,,,,,Yes,Yes,"$150k-$249,999",30338,0,0,0,0
0,,Other,1,0,0,0,0,0,0,0,Male,55-64,Bachelors degree,White,,,,,,,Yes,No,"$75k-$99,999",,0,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,65+,Bachelors degree,White,,,,,,,No,No,"$25k-$49,999",30082,0,0,0,0
